symbol,stage,count,mean,median,sd,min,max,p95,p99
SYSTEM,complete,1,3074.450176,3074.450176,,3074.450176,3074.450176,3074.450176,3074.450176
QQQ,wire,66,0.422842181818182,0.243456,0.71635500496871,0.130304,5.570816,0.9968,3.19445759999998
QQQ,parse,66,3.41952387878788,2.46912,4.22841810081302,1.548032,35.469056,5.99328,17.5750655999998
QQQ,write,66,6.83522327272727,4.74048,9.42698239946481,2.671872,77.710336,10.165824,44.3527935999997
QQQ,total,66,10.0772926060606,7.167104,16.8394622728024,3.812096,141.950208,13.548928,67.6685823999994
QQQ,broker,66,12.4850307878788,9.179008,18.2905491978916,5.138944,155.631104,16.957824,73.2045311999993
SPY,wire,65,0.435113353846154,0.26496,0.358348920008333,0.124928,2.2272,1.0602496,1.59215616
SPY,parse,65,3.87212996923077,2.930176,2.89654184018323,1.287936,22.032128,7.4763264,13.43233024
SPY,write,65,7.3070592,5.572864,6.51780645783914,2.434048,47.46496,11.8406144,37.87507712
SPY,total,65,9.79509169230769,8.205056,7.40074012005544,3.568896,49.784064,14.6201088,46.81757696
SPY,broker,65,12.2539126153846,10.864128,8.18717462412087,4.685056,53.442048,18.668288,53.29410048
AAPL,wire,66,1.19460460606061,0.444032,4.56142614015364,0.151808,36.807168,1.211328,17.9179391999998
AAPL,parse,66,5.49017987878788,3.28256,11.179401899416,1.522944,92.963072,8.59968,43.2450815999996
AAPL,write,66,8.50113163636364,6.614144,11.1467795196455,2.644992,94.547968,11.276416,46.0443647999996
AAPL,total,66,11.0516363636364,9.747968,11.2043503620277,3.744,95.886848,14.209024,51.0623487999996
AAPL,broker,66,13.4490259393939,11.713152,11.2867570189568,4.836096,97.728,17.502208,53.5669375999996
