timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:10.252214Z,SYSTEM,authentication,3074.450176,AUTH001,complete
2025-01-21T20:02:18.758256Z,QQQ,wire,5.570816,REQ000001,wire
2025-01-21T20:02:18.760625Z,QQQ,parse,7.93984,REQ000001,parse
2025-01-21T20:02:18.779076Z,QQQ,write,26.39104,REQ000001,write
2025-01-21T20:02:18.780356Z,QQQ,total,27.670784,REQ000001,total
2025-01-21T20:02:18.781506Z,QQQ,broker,28.820992,REQ000001,broker
2025-01-21T20:02:18.783803Z,SPY,wire,0.124928,REQ000002,wire
2025-01-21T20:02:18.784966Z,SPY,parse,1.287936,REQ000002,parse
2025-01-21T20:02:18.786112Z,SPY,write,2.434048,REQ000002,write
2025-01-21T20:02:18.787247Z,SPY,total,3.568896,REQ000002,total
2025-01-21T20:02:18.788363Z,SPY,broker,4.685056,REQ000002,broker
2025-01-21T20:02:19.654437Z,AAPL,wire,0.38016,REQ000003,wire
2025-01-21T20:02:19.656978Z,AAPL,parse,2.92096,REQ000003,parse
2025-01-21T20:02:19.659467Z,AAPL,write,5.410048,REQ000003,write
2025-01-21T20:02:19.662197Z,AAPL,total,8.140032,REQ000003,total
2025-01-21T20:02:19.665064Z,AAPL,broker,11.007232,REQ000003,broker
2025-01-21T20:02:19.670407Z,AAPL,wire,0.310016,REQ000004,wire
2025-01-21T20:02:19.673143Z,AAPL,parse,3.045632,REQ000004,parse
2025-01-21T20:02:19.678489Z,AAPL,write,8.391936,REQ000004,write
2025-01-21T20:02:19.680994Z,AAPL,total,10.896896,REQ000004,total
2025-01-21T20:02:19.683208Z,AAPL,broker,13.110784,REQ000004,broker
2025-01-21T20:02:19.687943Z,QQQ,wire,0.267008,REQ000005,wire
2025-01-21T20:02:19.689911Z,QQQ,parse,2.23488,REQ000005,parse
2025-01-21T20:02:19.692004Z,QQQ,write,4.327936,REQ000005,write
2025-01-21T20:02:19.694251Z,QQQ,total,6.575104,REQ000005,total
2025-01-21T20:02:19.696426Z,QQQ,broker,8.75008,REQ000005,broker
2025-01-21T20:02:20.655331Z,SPY,wire,0.57088,REQ000006,wire
2025-01-21T20:02:20.660074Z,SPY,parse,5.314048,REQ000006,parse
2025-01-21T20:02:20.663639Z,SPY,write,8.879104,REQ000006,write
2025-01-21T20:02:20.665873Z,SPY,total,11.113216,REQ000006,total
2025-01-21T20:02:20.668155Z,SPY,broker,13.394944,REQ000006,broker
2025-01-21T20:02:20.671789Z,QQQ,wire,0.201984,REQ000007,wire
2025-01-21T20:02:20.673821Z,QQQ,parse,2.233856,REQ000007,parse
2025-01-21T20:02:20.675764Z,QQQ,write,4.176896,REQ000007,write
2025-01-21T20:02:20.677725Z,QQQ,total,6.138112,REQ000007,total
2025-01-21T20:02:20.679642Z,QQQ,broker,8.054784,REQ000007,broker
2025-01-21T20:02:21.657115Z,AAPL,wire,0.875008,REQ000008,wire
2025-01-21T20:02:21.661455Z,AAPL,parse,5.214976,REQ000008,parse
2025-01-21T20:02:21.665252Z,AAPL,write,9.012224,REQ000008,write
2025-01-21T20:02:21.668161Z,AAPL,total,11.921152,REQ000008,total
2025-01-21T20:02:21.670858Z,AAPL,broker,14.618112,REQ000008,broker
2025-01-21T20:02:21.677741Z,SPY,wire,0.262144,REQ000009,wire
2025-01-21T20:02:21.680531Z,SPY,parse,3.052032,REQ000009,parse
2025-01-21T20:02:21.683417Z,SPY,write,5.938176,REQ000009,write
2025-01-21T20:02:21.686330Z,SPY,total,8.8512,REQ000009,total
2025-01-21T20:02:21.688796Z,SPY,broker,11.317248,REQ000009,broker
2025-01-21T20:02:21.692909Z,QQQ,wire,0.217088,REQ000010,wire
2025-01-21T20:02:21.695203Z,QQQ,parse,2.511104,REQ000010,parse
2025-01-21T20:02:21.697473Z,QQQ,write,4.781056,REQ000010,write
2025-01-21T20:02:21.699958Z,QQQ,total,7.266048,REQ000010,total
2025-01-21T20:02:21.701962Z,QQQ,broker,9.270016,REQ000010,broker
2025-01-21T20:02:22.656285Z,SPY,wire,1.020928,REQ000011,wire
2025-01-21T20:02:22.660350Z,SPY,parse,5.086208,REQ000011,parse
2025-01-21T20:02:22.664816Z,SPY,write,9.551872,REQ000011,write
2025-01-21T20:02:22.668170Z,SPY,total,12.905984,REQ000011,total
2025-01-21T20:02:22.671357Z,SPY,broker,16.092928,REQ000011,broker
2025-01-21T20:02:22.676519Z,AAPL,wire,0.240896,REQ000012,wire
2025-01-21T20:02:22.679134Z,AAPL,parse,2.855936,REQ000012,parse
2025-01-21T20:02:22.681692Z,AAPL,write,5.413888,REQ000012,write
2025-01-21T20:02:22.684241Z,AAPL,total,7.963136,REQ000012,total
2025-01-21T20:02:22.686666Z,AAPL,broker,10.387968,REQ000012,broker
2025-01-21T20:02:22.690670Z,QQQ,wire,0.20096,REQ000013,wire
2025-01-21T20:02:22.693150Z,QQQ,parse,2.680832,REQ000013,parse
2025-01-21T20:02:22.698014Z,QQQ,write,7.544832,REQ000013,write
2025-01-21T20:02:22.700087Z,QQQ,total,9.61792,REQ000013,total
2025-01-21T20:02:22.702038Z,QQQ,broker,11.568896,REQ000013,broker
2025-01-21T20:02:22.705461Z,SPY,wire,0.176896,REQ000014,wire
2025-01-21T20:02:22.707194Z,SPY,parse,1.910016,REQ000014,parse
2025-01-21T20:02:22.708942Z,SPY,write,3.657728,REQ000014,write
2025-01-21T20:02:22.710805Z,SPY,total,5.520896,REQ000014,total
2025-01-21T20:02:22.712516Z,SPY,broker,7.232,REQ000014,broker
2025-01-21T20:02:23.656836Z,AAPL,wire,1.241088,REQ000015,wire
