symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
QQQ,2025-01-11T00:35:45.100118Z,2025-01-11T00:35:22Z,,506.55,506.51,506.57,100,300,40517116,quote
SPY,2025-01-11T00:35:45.102298Z,2025-01-11T00:26:40Z,,579.9,579.7,579.87,300,100,73098468,quote
AAPL,2025-01-11T00:35:52.062618Z,2025-01-11T00:34:17Z,,237,236.98,237.02,100,100,61698987,quote
SPY,2025-01-11T00:35:52.065630Z,,,,,,,,73098470,quote
SPY,2025-01-11T00:35:52.066775Z,,,,,,,,73098471,quote
SPY,2025-01-11T00:36:25.008973Z,,,,,,,,73098472,quote
AAPL,2025-01-11T00:36:25.013423Z,,,,,,,,61699007,quote
AAPL,2025-01-11T00:36:25.016162Z,,,,,237.01,,,61699010,quote
QQQ,2025-01-11T00:36:25.036797Z,,,,200,,200,,,quote
,2025-01-11T00:36:25.038085Z,,2025-01-11T00:36:00Z,,,,,,,heartbeat
QQQ,2025-01-11T00:36:25.038915Z,,,,,,,,40517117,quote
AAPL,2025-01-11T00:36:25.039616Z,,,,,,,,61699011,quote
,2025-01-11T00:36:25.040250Z,,2025-01-11T00:36:10Z,,,,,,,heartbeat
,2025-01-11T00:36:25.040590Z,,2025-01-11T00:36:16Z,,,,,,,heartbeat
AAPL,2025-01-11T00:36:25.040936Z,,,,,,,,61699017,quote
AAPL,2025-01-11T00:36:25.041263Z,,,,,,,,61699018,quote
SPY,2025-01-11T00:36:25.041602Z,,,,,,,,73098473,quote
QQQ,2025-01-11T00:36:40.008010Z,,,,,,,,40517118,quote
AAPL,2025-01-11T00:36:40.013598Z,,,,,,,,61699020,quote
QQQ,2025-01-11T00:36:40.016064Z,,,,506.5,,1000,,,quote
AAPL,2025-01-11T00:36:40.017647Z,,,,,,,,61699050,quote
QQQ,2025-01-11T00:36:40.034557Z,2025-01-11T00:36:28Z,,506.57,,200,,200,40517302,quote
AAPL,2025-01-11T00:36:40.035064Z,,,,,,,,61699120,quote
AAPL,2025-01-11T00:36:40.035409Z,,,,,,,,61699121,quote
AAPL,2025-01-11T00:36:40.035744Z,,,,,,,,61699123,quote
SPY,2025-01-11T00:36:40.036079Z,,,,,,,,73098474,quote
AAPL,2025-01-11T00:37:13.011127Z,,,,,,,,61699125,quote
SPY,2025-01-11T00:37:13.028456Z,,,,,,,,73098475,quote
SPY,2025-01-11T00:37:13.031272Z,,,,,,,,73098481,quote
SPY,2025-01-11T00:37:13.033960Z,,,,,,,,73098482,quote
SPY,2025-01-11T00:37:13.035171Z,,,,,,,,73098483,quote
,2025-01-11T00:37:13.035981Z,,2025-01-11T00:36:54Z,,,,,,,heartbeat
QQQ,2025-01-11T00:37:13.036815Z,,,,,,,,40517305,quote
SPY,2025-01-11T00:37:13.037541Z,,,,,,,,73098493,quote
,2025-01-11T00:37:13.038474Z,,2025-01-11T00:37:04Z,,,,,,,heartbeat
AAPL,2025-01-11T00:37:13.039749Z,,,,,,,,61699176,quote
SPY,2025-01-11T00:37:13.040557Z,,,,,,,,73098495,quote
AAPL,2025-01-11T00:37:13.041261Z,,,,,,,,61699177,quote
SPY,2025-01-11T00:37:13.041815Z,,,,,,,,73098496,quote
,2025-01-11T00:37:34.054376Z,,2025-01-11T00:37:13Z,,,,,,,heartbeat
AAPL,2025-01-11T00:37:34.057957Z,,,,,,,,61699182,quote
SPY,2025-01-11T00:37:34.062462Z,,,,,,,,73098497,quote
AAPL,2025-01-11T00:37:34.064663Z,,,,236.99,,,,,quote
QQQ,2025-01-11T00:37:34.065900Z,,,,,,,,40517313,quote
AAPL,2025-01-11T00:37:34.067056Z,,,,,,,,61699183,quote
QQQ,2025-01-11T00:37:34.069824Z,,,,,,,,40517319,quote
SPY,2025-01-11T00:37:34.073702Z,,,,,,,,73098498,quote
AAPL,2025-01-11T00:37:34.075914Z,,,,,,,,61699184,quote
QQQ,2025-01-11T00:37:34.076770Z,2025-01-11T00:37:28Z,,,,,,,40517426,quote
AAPL,2025-01-11T00:37:55.046765Z,,,,,,,,61699207,quote
SPY,2025-01-11T00:37:55.049343Z,,,,,,,,73098552,quote
AAPL,2025-01-11T00:37:55.051190Z,,,,236.95,,300,,61699225,quote
SPY,2025-01-11T00:37:55.055098Z,,,,,,,,73098553,quote
SPY,2025-01-11T00:37:55.057713Z,,,,,,,,73098589,quote
AAPL,2025-01-11T00:37:55.059334Z,,,,,,,,61699352,quote
QQQ,2025-01-11T00:37:55.060223Z,,,,,,,,40517427,quote
AAPL,2025-01-11T00:37:55.060953Z,,,,,,,,61699354,quote
SPY,2025-01-11T00:37:55.061638Z,,,,,,,,73098590,quote
,2025-01-11T00:37:55.062370Z,,2025-01-11T00:37:50Z,,,,,,,heartbeat
SPY,2025-01-11T00:37:55.063266Z,,,,,,,,73098594,quote
QQQ,2025-01-11T00:38:07.029059Z,,,,,100,,100,40517457,quote
SPY,2025-01-11T00:38:07.031863Z,,,,,,,,73098595,quote
SPY,2025-01-11T00:38:07.081061Z,,,,,,,,73098599,quote
AAPL,2025-01-11T00:38:07.081588Z,,,,,,,,61699355,quote
SPY,2025-01-11T00:38:07.082146Z,2025-01-11T00:38:01Z,,579.87,,,,,73098713,quote
QQQ,2025-01-11T00:38:07.082540Z,,,,,,,,40517477,quote
QQQ,2025-01-11T00:38:07.082857Z,,,,,,,,40517479,quote
AAPL,2025-01-11T00:38:07.083357Z,,,,,,,,61699356,quote
AAPL,2025-01-11T00:38:07.083764Z,,,,,,,,61699358,quote
SPY,2025-01-11T00:38:34.008793Z,,,,,,,,73098718,quote
SPY,2025-01-11T00:38:34.010365Z,,,,,,,,73098719,quote
,2025-01-11T00:38:34.012711Z,,2025-01-11T00:38:14Z,,,,,,,heartbeat
QQQ,2025-01-11T00:38:34.014128Z,,,,,,,,40517480,quote
SPY,2025-01-11T00:38:34.015271Z,,,,,,,,73098720,quote
QQQ,2025-01-11T00:38:34.016289Z,,,,,,,,40517491,quote
QQQ,2025-01-11T00:38:34.017415Z,,,,,,,,40517492,quote
SPY,2025-01-11T00:38:34.019031Z,,,,,,,,73098721,quote
,2025-01-11T00:38:34.020640Z,,2025-01-11T00:38:24Z,,,,,,,heartbeat
AAPL,2025-01-11T00:38:34.021888Z,,,,,,,,61699359,quote
AAPL,2025-01-11T00:38:34.022990Z,,,,,,,,61699360,quote
QQQ,2025-01-11T00:38:34.023853Z,,,,,,,,40517502,quote
AAPL,2025-01-11T00:38:34.024603Z,,,,,,,,61699361,quote
AAPL,2025-01-11T00:38:56.006983Z,,,,,,,,61699362,quote
SPY,2025-01-11T00:38:56.010923Z,,,,,,,,73098724,quote
AAPL,2025-01-11T00:38:56.013960Z,,,,,,,,61699363,quote
SPY,2025-01-11T00:38:56.016454Z,,,,,,,,73098763,quote
AAPL,2025-01-11T00:38:56.018384Z,,,,,,,,61699364,quote
AAPL,2025-01-11T00:38:56.021825Z,,,,,,,,61699365,quote
AAPL,2025-01-11T00:38:56.024258Z,,,,,,,,61699366,quote
QQQ,2025-01-11T00:38:56.025697Z,,,,,,,,40517505,quote
AAPL,2025-01-11T00:38:56.027224Z,,,,,,,,61699373,quote
SPY,2025-01-11T00:38:56.028564Z,,,,,,,,73098764,quote
SPY,2025-01-11T00:38:56.029521Z,,,,,,,,73098785,quote
SPY,2025-01-11T00:38:56.030371Z,,,,,,,,73098786,quote
SPY,2025-01-11T00:38:56.031274Z,,,,,,,,73098791,quote
AAPL,2025-01-11T00:39:22.089053Z,,,,,,,,61699374,quote
