symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T13:36:00.113994Z,2025-01-10T13:35:48Z,,240.5,240.34,240.64,400,200,198465,quote
AAPL,2025-01-10T13:36:00.117794Z,,,,240.39,,200,,,quote
AAPL,2025-01-10T13:36:00.122980Z,,,,240.35,,,,,quote
AAPL,2025-01-10T13:36:00.123279Z,2025-01-10T13:35:57Z,,240.64,240.44,240.82,100,2300,198659,quote
AAPL,2025-01-10T13:36:00.123570Z,,,,240.3,240.77,,200,198978,quote
AAPL,2025-01-10T13:36:05.993408Z,,,,240.36,240.76,200,,198979,quote
AAPL,2025-01-10T13:36:06.009951Z,,,,240.3,240.82,100,2300,,quote
AAPL,2025-01-10T13:36:06.011174Z,,,,240.38,240.78,200,200,,quote
AAPL,2025-01-10T13:36:06.011789Z,,,,240.57,240.8,,,199056,quote
AAPL,2025-01-10T13:36:06.012329Z,,,,,240.76,,,199062,quote
AAPL,2025-01-10T13:36:06.012819Z,,,,,240.77,,400,199068,quote
AAPL,2025-01-10T13:36:15.992013Z,2025-01-10T13:36:05Z,,240.59,,240.82,,2300,199221,quote
AAPL,2025-01-10T13:36:15.997233Z,,,,500,,500,,199427,quote
AAPL,2025-01-10T13:36:16.005929Z,,,,240.61,,400,,,quote
AAPL,2025-01-10T13:36:16.007434Z,,,,240.57,,200,,,quote
AAPL,2025-01-10T13:36:16.007999Z,,,,240.6,,,,,quote
AAPL,2025-01-10T13:36:16.009127Z,,,,240.64,,100,,199428,quote
AAPL,2025-01-10T13:36:16.009742Z,,,,240.57,,500,,199469,quote
AAPL,2025-01-10T13:36:16.010519Z,,,,200,2200,200,2200,199498,quote
AAPL,2025-01-10T13:36:16.011048Z,,,,,,,,199499,quote
AAPL,2025-01-10T13:36:18.990779Z,,,,300,240.8,300,100,199599,quote
AAPL,2025-01-10T13:36:18.994641Z,2025-01-10T13:36:15Z,,241,240.67,241,400,2800,202247,quote
AAPL,2025-01-10T13:36:18.996533Z,2025-01-10T13:36:17Z,,240.82,240.64,,,,202837,quote
AAPL,2025-01-10T13:36:26.059838Z,,,,240.61,240.98,,200,202838,quote
AAPL,2025-01-10T13:36:26.064295Z,,,,240.62,,200,,,quote
AAPL,2025-01-10T13:36:26.068285Z,,,,240.77,241,,2800,,quote
AAPL,2025-01-10T13:36:26.072383Z,,,,240.78,,,,202852,quote
AAPL,2025-01-10T13:36:26.074755Z,,,,240.74,,,,,quote
AAPL,2025-01-10T13:36:26.077743Z,,,,240.76,,,,,quote
AAPL,2025-01-10T13:36:26.079016Z,,,,240.71,,400,,,quote
AAPL,2025-01-10T13:36:36.995100Z,2025-01-10T13:36:25Z,,240.81,240.73,,200,,203034,quote
AAPL,2025-01-10T13:36:36.998498Z,,,,240.87,,100,,,quote
AAPL,2025-01-10T13:36:37.006579Z,,,,,240.98,,100,203050,quote
AAPL,2025-01-10T13:36:37.012414Z,,,,,,,,203052,quote
AAPL,2025-01-10T13:36:37.014376Z,,,,240.8,,,,203503,quote
AAPL,2025-01-10T13:36:37.049790Z,,,,,,,,203510,quote
AAPL,2025-01-10T13:36:37.050205Z,2025-01-10T13:36:33Z,,240.8,240.69,,,,203696,quote
AAPL,2025-01-10T13:36:37.050923Z,,,,,,,,203697,quote
AAPL,2025-01-10T13:36:37.051276Z,,,,240.82,,,,203698,quote
AAPL,2025-01-10T13:36:43.995839Z,,,,240.83,,,,,quote
AAPL,2025-01-10T13:36:44.000646Z,,,,240.84,,,,203701,quote
AAPL,2025-01-10T13:36:44.002254Z,2025-01-10T13:36:38Z,,240.86,240.85,,,,203901,quote
AAPL,2025-01-10T13:36:44.004968Z,,,,240.86,,,,203907,quote
AAPL,2025-01-10T13:36:44.007828Z,,,,240.87,,,,203908,quote
AAPL,2025-01-10T13:36:44.010030Z,,,,240.89,,,,203934,quote
AAPL,2025-01-10T13:36:44.012436Z,,,,240.92,,,,203958,quote
AAPL,2025-01-10T13:36:48.996893Z,2025-01-10T13:36:43Z,,240.98,240.95,241,200,2800,204085,quote
AAPL,2025-01-10T13:36:49.001814Z,,,241,240.97,241.24,100,200,207299,quote
AAPL,2025-01-10T13:36:49.004511Z,,,,240.98,,,,207389,quote
AAPL,2025-01-10T13:36:49.006621Z,,,,240.99,241.25,,100,,quote
AAPL,2025-01-10T13:36:49.009342Z,,,,241,,,,207393,quote
AAPL,2025-01-10T13:37:00.051602Z,,,,241.01,,,,,quote
AAPL,2025-01-10T13:37:00.053072Z,,,,241.02,,,,,quote
AAPL,2025-01-10T13:37:00.053561Z,,,,241.03,,,,207528,quote
AAPL,2025-01-10T13:37:00.053923Z,,,,241.05,,,,207535,quote
AAPL,2025-01-10T13:37:00.054298Z,,,,,,,,207541,quote
AAPL,2025-01-10T13:37:00.054600Z,,,,241.07,,,,,quote
AAPL,2025-01-10T13:37:00.054907Z,,,,241.08,,200,,,quote
AAPL,2025-01-10T13:37:00.055188Z,,,,241.09,,,,,quote
AAPL,2025-01-10T13:37:00.055477Z,,,,241.15,241.35,100,200,207796,quote
AAPL,2025-01-10T13:37:00.055860Z,,,,241.16,241.36,,,207797,quote
AAPL,2025-01-10T13:37:08.039937Z,,,,,,,,207818,quote
AAPL,2025-01-10T13:37:08.043924Z,,,,241.17,241.38,200,,207824,quote
AAPL,2025-01-10T13:37:08.045371Z,,,,241.18,241.34,,,,quote
AAPL,2025-01-10T13:37:08.047922Z,,,,241.19,241.36,,300,207895,quote
AAPL,2025-01-10T13:37:08.049581Z,,,,241.21,,,,207982,quote
AAPL,2025-01-10T13:37:08.051765Z,,,,241.22,,100,,208032,quote
AAPL,2025-01-10T13:37:08.052797Z,,,,241.23,,200,,208042,quote
AAPL,2025-01-10T13:37:08.054650Z,,,,241.24,241.28,100,,208047,quote
AAPL,2025-01-10T13:37:13.996144Z,,,,,,,,208050,quote
AAPL,2025-01-10T13:37:14.000541Z,,,,,,,,208057,quote
AAPL,2025-01-10T13:37:14.002914Z,,,,241.26,,,,208058,quote
AAPL,2025-01-10T13:37:14.004977Z,2025-01-10T13:37:11Z,,241.28,200,200,200,200,208798,quote
AAPL,2025-01-10T13:37:14.006954Z,,,,,,,,208852,quote
AAPL,2025-01-10T13:37:23.995233Z,2025-01-10T13:37:13Z,,241.22,241.07,,100,,209985,quote
AAPL,2025-01-10T13:37:23.998778Z,2025-01-10T13:37:14Z,,241.2,241,,,,210409,quote
AAPL,2025-01-10T13:37:24.001040Z,,,,241.07,,,,210410,quote
AAPL,2025-01-10T13:37:24.002244Z,,,,400,,400,,210420,quote
