id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
1,2025-01-21 14:34:35,SPY,602.48,602.46,602.47,26504335,2025-01-21 20:34:34,quote
2,2025-01-21 14:34:35,QQQ,525.18,525.16,525.18,18280746,2025-01-21 20:34:34,quote
3,2025-01-21 14:34:36,AAPL,221.635,221.63,221.64,69009819,2025-01-21 20:34:35,quote
4,2025-01-21 14:34:36,AAPL,,100,300,69009998,,quote
5,2025-01-21 14:34:37,SPY,602.4701,602.47,602.48,26505683,2025-01-21 20:34:36,quote
6,2025-01-21 14:34:37,QQQ,525.17,,700,18283086,2025-01-21 20:34:36,quote
7,2025-01-21 14:34:38,AAPL,221.6121,221.61,221.62,69038161,2025-01-21 20:34:37,quote
8,2025-01-21 14:34:38,SPY,,300,602.49,26505818,,quote
9,2025-01-21 14:34:38,QQQ,,300,525.17,18285076,2025-01-21 20:34:37,quote
10,2025-01-21 14:34:39,QQQ,,100,525.18,18292189,,quote
11,2025-01-21 14:34:39,AAPL,221.6,221.6,500,69040175,2025-01-21 20:34:38,quote
12,2025-01-21 14:34:39,SPY,,200,602.48,26505984,,quote
13,2025-01-21 14:34:40,AAPL,221.61,,400,69042411,2025-01-21 20:34:39,quote
14,2025-01-21 14:34:40,SPY,602.48,,,26507289,2025-01-21 20:34:38,quote
15,2025-01-21 14:34:40,QQQ,525.1701,,1000,18292459,2025-01-21 20:34:39,quote
16,2025-01-21 14:34:40,QQQ,525.18,,700,18293171,,quote
17,2025-01-21 14:34:40,AAPL,221.59,221.58,221.6,69053891,2025-01-21 20:34:40,quote
18,2025-01-21 14:34:41,SPY,602.46,602.46,900,26512360,2025-01-21 20:34:40,quote
19,2025-01-21 14:34:41,AAPL,,221.59,200,69054686,,quote
20,2025-01-21 14:34:41,SPY,602.48,900,100,26513460,,quote
21,2025-01-21 14:34:42,QQQ,525.16,900,525.17,18293888,2025-01-21 20:34:40,quote
22,2025-01-21 14:34:42,QQQ,,525.15,700,18294481,2025-01-21 20:34:42,quote
23,2025-01-21 14:34:42,AAPL,221.58,221.58,221.59,69055227,2025-01-21 20:34:42,quote
24,2025-01-21 14:34:43,SPY,602.49,,602.49,26514485,2025-01-21 20:34:41,quote
25,2025-01-21 14:34:43,QQQ,525.18,525.17,525.18,18295678,2025-01-21 20:34:43,quote
26,2025-01-21 14:34:44,SPY,602.51,602.49,602.51,26516433,2025-01-21 20:34:43,quote
27,2025-01-21 14:34:44,AAPL,100,,500,69057640,2025-01-21 20:34:43,quote
28,2025-01-21 14:34:44,AAPL,221.59,,400,69058803,,quote
29,2025-01-21 14:34:50,AAPL,221.6,221.59,221.61,69075989,2025-01-21 20:34:50,quote
30,2025-01-21 14:34:51,QQQ,525.19,525.18,525.19,18298991,2025-01-21 20:34:50,quote
31,2025-01-21 14:34:51,SPY,602.515,602.51,602.52,26527522,2025-01-21 20:34:50,quote
32,2025-01-21 14:34:52,SPY,602.51,602.49,900,26529055,2025-01-21 20:34:51,quote
33,2025-01-21 14:34:52,AAPL,221.6099,1300,,69077217,2025-01-21 20:34:51,quote
34,2025-01-21 14:34:52,QQQ,,,525.2,18299093,,quote
35,2025-01-21 14:34:52,SPY,,,602.51,26529209,2025-01-21 20:34:52,quote
36,2025-01-21 14:34:52,AAPL,221.59,1900,500,69077392,,quote
37,2025-01-21 14:34:53,QQQ,525.18,100,525.19,18299257,2025-01-21 20:34:52,quote
38,2025-01-21 14:34:53,QQQ,,525.17,,18299359,2025-01-21 20:34:53,quote
39,2025-01-21 14:34:53,AAPL,,1300,221.6,69080602,2025-01-21 20:34:53,quote
40,2025-01-21 14:34:54,SPY,602.5096,602.5,600,26529977,2025-01-21 20:34:53,quote
41,2025-01-21 14:34:54,AAPL,221.58,221.57,221.58,69085576,2025-01-21 20:34:54,quote
42,2025-01-21 14:34:54,SPY,,100,900,26530099,,quote
43,2025-01-21 14:34:55,QQQ,525.175,600,525.18,18299461,,quote
44,2025-01-21 14:34:55,SPY,602.495,602.49,602.5,26536060,2025-01-21 20:34:55,quote
45,2025-01-21 14:34:56,QQQ,525.17,525.15,525.17,18300085,2025-01-21 20:34:55,quote
46,2025-01-21 14:34:56,AAPL,221.57,221.56,,69087548,2025-01-21 20:34:55,quote
47,2025-01-21 14:34:57,AAPL,221.56,221.55,221.57,69090348,2025-01-21 20:34:56,quote
48,2025-01-21 14:34:57,QQQ,525.1651,525.16,,18300571,2025-01-21 20:34:56,quote
49,2025-01-21 14:34:57,SPY,,300,1200,26536147,,quote
50,2025-01-21 14:34:57,SPY,602.5,,200,26536766,2025-01-21 20:34:57,quote
51,2025-01-21 14:34:58,AAPL,221.55,221.53,221.55,69094044,2025-01-21 20:34:57,quote
52,2025-01-21 14:34:58,QQQ,525.18,525.17,525.19,18300879,2025-01-21 20:34:57,quote
53,2025-01-21 14:34:58,AAPL,221.54,221.52,221.54,69097461,2025-01-21 20:34:58,quote
54,2025-01-21 14:34:58,SPY,602.4911,,,26537610,2025-01-21 20:34:58,quote
55,2025-01-21 14:35:00,QQQ,525.19,700,800,18301663,,quote
56,2025-01-21 14:35:00,AAPL,221.5,221.5,221.51,69107239,2025-01-21 20:34:59,quote
57,2025-01-21 14:35:00,SPY,,400,300,26537718,,quote
58,2025-01-21 14:35:00,QQQ,,100,2400,18302522,,quote
59,2025-01-21 14:35:00,AAPL,221.495,221.48,900,69117030,2025-01-21 20:35:00,quote
60,2025-01-21 14:35:00,QQQ,525.1601,525.15,525.16,18303494,2025-01-21 20:35:00,quote
61,2025-01-21 14:35:01,SPY,602.495,300,2500,26538078,2025-01-21 20:35:00,quote
62,2025-01-21 14:35:01,AAPL,221.485,200,221.49,69118816,2025-01-21 20:35:01,quote
63,2025-01-21 14:35:02,SPY,602.46,602.47,602.48,26541316,2025-01-21 20:35:01,quote
64,2025-01-21 14:35:02,QQQ,525.14,525.14,1100,18304670,2025-01-21 20:35:01,quote
65,2025-01-21 14:35:03,AAPL,221.48,221.47,,69120271,2025-01-21 20:35:02,quote
66,2025-01-21 14:35:03,SPY,602.4599,602.44,602.46,26543152,2025-01-21 20:35:02,quote
67,2025-01-21 14:35:03,QQQ,525.11,525.11,525.13,18315742,2025-01-21 20:35:02,quote
